"BehaviorSpace results (NetLogo 5.0.5)"
"network_model.nlogo"
"ten-techs"
"05/24/2014 20:26:43:268 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-30","30"
"[run number]","preferredMinusOtherTech","w2","preferencesMinusNetwork","w1","randomizationLevel","ticksCount","randomize","technologiesQuantity","componentsQuantity","[step]","item 0 finalResults","item 1 finalResults","item 2 finalResults","item 3 finalResults","item 4 finalResults","item 5 finalResults","item 6 finalResults","item 7 finalResults","item 8 finalResults","item 9 finalResults"
"2","0.8","0.5","0.8","1","0.3","1200","true","10","20","1200","0.5758333333333333","0.24083333333333334","0.0975","0.03833333333333333","0.02","0.011666666666666667","0.005833333333333334","0.005","0.0033333333333333335","0.0016666666666666668"
"1","0.8","0.5","0.8","1","0.3","1200","true","10","20","1200","0.5425","0.245","0.12333333333333334","0.03833333333333333","0.021666666666666667","0.009166666666666667","0.008333333333333333","0.004166666666666667","0.004166666666666667","0.0033333333333333335"
"3","0.8","0.5","0.8","1","0.3","1200","true","10","20","1200","0.5925","0.22833333333333333","0.105","0.03","0.009166666666666667","0.009166666666666667","0.008333333333333333","0.006666666666666667","0.005833333333333334","0.005"
"5","0.8","0.5","0.8","1","0.3","1200","true","10","20","1200","0.5408333333333334","0.24666666666666667","0.0925","0.045","0.0175","0.015","0.013333333333333334","0.010833333333333334","0.01","0.008333333333333333"
"4","0.8","0.5","0.8","1","0.3","1200","true","10","20","1200","0.6066666666666667","0.24","0.09","0.035833333333333335","0.009166666666666667","0.006666666666666667","0.005833333333333334","0.0033333333333333335","0.0016666666666666668","8.333333333333334E-4"
"6","0.8","0.5","0.8","1","0.3","1200","true","10","20","1200","0.5408333333333334","0.23833333333333334","0.12166666666666667","0.0525","0.015833333333333335","0.01","0.0075","0.005","0.004166666666666667","0.004166666666666667"
"7","0.8","0.5","0.8","1","0.3","1200","true","10","40","1200","0.5725","0.2575","0.1125","0.034166666666666665","0.01","0.009166666666666667","0.0025","0.0016666666666666668","0","0"
"8","0.8","0.5","0.8","1","0.3","1200","true","10","40","1200","0.6266666666666667","0.22083333333333333","0.08416666666666667","0.03","0.0125","0.01","0.0075","0.005","0.0016666666666666668","0.0016666666666666668"
"10","0.8","0.5","0.8","1","0.3","1200","true","10","40","1200","0.595","0.25833333333333336","0.08083333333333333","0.03","0.014166666666666666","0.008333333333333333","0.006666666666666667","0.005","8.333333333333334E-4","8.333333333333334E-4"
"9","0.8","0.5","0.8","1","0.3","1200","true","10","40","1200","0.6575","0.2","0.07333333333333333","0.0275","0.01","0.009166666666666667","0.0075","0.005833333333333334","0.005","0.004166666666666667"
"11","0.8","0.5","0.8","1","0.3","1200","true","10","40","1200","0.6208333333333333","0.22","0.08916666666666667","0.04","0.018333333333333333","0.005","0.004166666666666667","0.0016666666666666668","8.333333333333334E-4","0"
"12","0.8","0.5","0.8","1","0.3","1200","true","10","40","1200","0.6491666666666667","0.22833333333333333","0.065","0.03","0.009166666666666667","0.005833333333333334","0.005","0.004166666666666667","0.0033333333333333335","0"
